id,height,weight,position,firstseason,lastseason,games,pts,reb,ast,stl,fga,fgm,fta,ftm
OKORMI01,201,94,F,1980,1987,407,3355,1391,856,311,2960,1449,648,422
OLAJUHA01,208,113,C,1984,2001,1238,26946,13747,3058,2162,20991,10749,7621,5423
OLBERMA01,203,102,F,1975,1986,865,8145,4503,2190,573,5750,2824,3074,2492
OLDHAJA01,213,98,C,1980,1990,329,1455,1353,162,97,1269,608,394,239
OLDHAJO01,190,79,G,1949,1950,127,926,242,226,0,1023,326,437,274
OLEYNFR01,188,84,G,1975,1976,102,508,90,113,34,539,208,130,92
OLIVEBR01,193,95,G,1990,1997,118,389,123,114,45,400,155,105,74
OLIVEDE01,180,82,G,2001,2002,35,64,24,44,10,75,24,17,13
OLIVEJI01,196,93,G,1991,1998,78,331,80,55,27,332,135,57,44
OLIVEJO01,201,95,F,1978,1979,35,44,20,3,4,42,13,23,18
OLLRIGE01,180,73,G,1949,1949,14,44,0,24,0,72,17,14,10
OLOWOMI01,213,122,C,1998,2006,500,4135,3414,327,226,4109,1788,936,559
OLSENEN01,203,100,F,1962,1969,380,1613,1138,299,0,1569,663,526,287
OMALGR01,196,93,F,1969,1969,24,50,26,10,0,60,21,19,8
ONEIMI01,190,95,F,1952,1952,4,12,9,3,0,17,4,4,4
ORMSBA01,190,86,G,1968,1969,64,181,158,49,0,246,76,60,29
ORRJO01,190,88,F,1949,1949,34,92,0,20,0,118,40,14,12
ORRLO01,203,79,F,1980,1987,569,5545,2117,853,455,4539,2125,1642,1292
ORTIZJO01,208,102,F,1988,1989,64,183,73,18,10,167,74,57,34
OSBORCH01,198,95,F,1961,1961,4,5,9,1,0,8,1,4,3
OSHEKE01,188,79,G,1950,1952,174,911,402,358,0,922,311,425,289
OSHIGA01,185,88,G,1946,1946,9,4,0,1,0,11,2,2,0
OSTERGR01,218,127,C,1995,2005,756,3512,4145,443,189,2757,1339,1465,833
OSTERWA01,194,98,F,1951,1954,204,1436,1218,346,0,1358,453,896,530
